Wavelength,S1
nm,Counts
605.598,38754
605.656,37076
605.715,37138
605.773,37101
605.831,37245
605.89,37641
605.948,37868
606.006,37957
606.065,38375
606.123,38474
606.181,38733
606.24,39124
606.298,39393
606.356,39531
606.414,39641
606.473,39630
606.531,39488
606.589,39423
606.648,39291
606.706,38920
606.764,38784
606.822,38405
606.881,38190
606.939,37732
606.997,37283
607.055,36762
607.114,36757
607.172,36690
607.23,36814
607.288,37028
607.347,37267
607.405,37560
607.463,37935
607.521,37930
607.58,38260
607.638,38693
607.696,38908
607.754,39179
607.812,39421
607.871,39638
607.929,39456
607.987,39465
608.045,39462
608.103,39028
608.162,38884
608.22,38640
608.278,38153
608.336,38217
608.394,37661
608.452,37277
608.511,37024
608.569,36678
608.627,36783
608.685,36810
608.743,36827
608.801,37299
608.86,37639
608.918,37634
608.976,37763
609.034,38221
609.092,38480
609.15,38736
609.208,39199
609.267,39246
609.325,39520
609.383,39625
609.441,39418
609.499,39394
609.557,38933
609.615,38933
609.673,38646
609.731,38162
609.79,37886
609.848,37442
609.906,37181
609.964,36661
610.022,36454
610.08,36333
610.138,36470
610.196,36729
610.254,37012
610.312,37342
610.37,37527
610.428,37341
610.486,37732
610.544,37945
610.602,38326
610.661,38494
610.719,38659
610.777,38877
610.835,38930
610.893,38958
610.951,38736
611.009,38445
611.067,38295
611.125,38100
611.183,37659
611.241,37491
611.299,37034
611.357,36420
611.415,36194
611.473,35959
611.531,35609
611.589,35624
611.647,35903
611.705,36231
611.763,36204
611.821,36506
611.879,36700
611.937,36910
611.994,37006
612.052,37144
612.11,37597
612.168,37861
612.226,38162
612.284,38133
612.342,38134
612.4,37948
612.458,37598
612.516,37579
612.574,37306
612.632,36934
612.69,36816
612.748,36397
612.806,36081
612.863,35294
612.921,35212
612.979,34941
613.037,35100
613.095,35229
613.153,35269
613.211,35245
613.269,35819
613.327,35659
613.384,36092
613.442,36209
613.5,36406
613.558,36869
613.616,36859
613.674,37334
613.732,37536
613.79,37359
613.847,37529
613.905,37397
613.963,37073
614.021,36868
614.079,36610
614.137,36518
614.194,36034
614.252,35759
614.31,35300
614.368,34894
614.426,34695
614.483,34523
614.541,34528
614.599,34945
614.657,34983
614.715,35281
614.772,35315
614.83,35423
614.888,35582
614.946,35871
615.004,36053
615.061,36552
615.119,36677
615.177,37007
615.235,37267
615.292,36911
615.35,36930
615.408,36620
615.466,36534
615.523,36300
615.581,36196
615.639,35898
615.697,35364
615.754,35166
615.812,34708
615.87,34306
615.928,34051
615.985,33925
616.043,34015
616.101,34414
616.158,34436
616.216,34671
616.274,34727
616.331,34942
616.389,35185
616.447,35252
616.505,35793
616.562,35805
616.62,35833
616.678,36315
616.735,36292
616.793,36284
616.851,36175
616.908,35933
616.966,35851
617.024,35532
617.081,35325
617.139,34952
617.196,34794
617.254,34244
617.312,33828
617.369,33543
617.427,33404
617.485,33168
617.542,33429
617.6,33632
617.657,33697
617.715,33875
617.773,34033
617.83,34210
617.888,34270
617.945,34505
618.003,34946
618.061,35158
618.118,35324
618.176,35580
618.233,35520
618.291,35612
618.349,35462
618.406,35437
618.464,34983
618.521,34957
618.579,34795
618.636,34422
618.694,34013
618.751,33618
618.809,33262
618.867,33078
618.924,32896
618.982,32747
619.039,32952
619.097,33091
619.154,33178
619.212,33366
619.269,33388
619.327,33557
619.384,33760
619.442,34184
619.499,34229
619.557,34509
619.614,34783
619.672,35023
619.729,35118
619.787,35016
619.844,34880
619.902,34792
619.959,34631
620.016,34419
620.074,34261
620.131,33868
620.189,33549
620.246,33174
620.304,32639
620.361,32510
620.419,31987
620.476,32077
620.533,32265
620.591,32391
620.648,32648
620.706,32752
